(-7.174430094663563e-16+0j) (-4.605647173308563e-16+0j) 0j 0j 0j 0j 0j 0j 0j (1.860313735927082e-17-2.2086565058881367e-16j) (1.860313735927082e-17+2.2086565058881367e-16j) (1.4897390730461458e-16+0j) (2.6068134421819327e-16+0j) (0.0527878480207294+0j) (0.149903485027217+0j) (0.16568637304080344+0j) (0.17512030215129523+0j) (0.23446005257727093+0j) (0.25429352532994126+0j) (0.26990153534874883+0j) (0.36310173737435014+0j) (0.3955227173187536+0j) (0.42393425130454926+0j) (0.4586557840122808+0j) (0.4753769971721349+0j) (0.5277524023885011+0j) (0.6025960749795625+0j) (0.6241060502511371+0j) (0.7033320837144925+0j) (0.7077255534088958+0j) (0.7866860088343123+0j) (0.8081795702070017+0j) (0.8802195789596806+0j) (0.9999999999999991+0j) (0.9999999999999993+0j) (0.9999999999999996+0j) (1.0000000000000002+0j) (1.0000000000000013+0j) (1.0000000000000018+0j) (1.0000000000000024+0j) (1.0000000000000075+0j) (1.0432223291666594+0j) (1.2321868554508493+0j) (1.2516891565797512+0j) (1.3559961843189499+0j) (1.362581573443122+0j) (1.433234889491317+0j) (1.5533865035858883+0j) (1.5818249352886353+0j) (1.6646233165415523+0j) (1.7483685558223083+0j) (1.8063276381931486+0j) (1.8712315704904576+0j) (1.9341801139300951+0j) (1.938487237789086+0j) (2.000000000000002+0j) (2.000000000000005+0j) (2.1986200422270894+0j) (2.3986556821732585+0j) (2.5314631632548483+0j) (2.551673954425726+0j) (2.5648521430971285+0j) (2.636717074211396+0j) (2.7248388764095384+0j) (2.7542771777761157+0j) (2.967333353140511+0j) (2.9999999999999973+0j) (3.0000000000000018+0j) (3.0000000000000018+0j) (3.000000000000003+0j) (3.0000000000000053+0j) (3.000000000000008+0j) (3.0294592482660287+0j) (3.5078840436504266+0j) (3.7027161633119507+0j) (3.856118274779794+0j) (3.9999999999999942+0j) (4.0000000000000036+0j) (4.000000000000004+0j) (4.000000000000007+0j) (4.000000000000008+0j) (4.000000000000015+0j) (4.154252862957899+0j) (4.514346342358007+0j) (4.809047870345996+0j) (4.814174712663597+0j) (4.832945182884383+0j) (4.9835749163085925+0j) (4.999999999999989+0j) (5.000000000000003+0j) (5.000000000000009+0j) (5.272251264416621+0j) (5.338608205541139+0j) (5.4530328887707356+0j) (5.83536122150673+0j) (5.8489506368840996+0j) (6.00000000000002+0j) (6.314862033915162+0j) (6.884880000597614+0j) (7.1755681519701335+0j) (7.424392087529204+0j) (7.943513407091596+0j) (8.618231782181342+0j) (9.092254565101873+0j) (9.438659952816497+0j) (9.863163346356634+0j) (9.875295578820094+0j) (10.140807356725531+0j) (11.121768997410388+0j) (11.340717363409219+0j) (11.506036984847778+0j) (12.614634770470825+0j) (13.527375527881302+0j) 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.589116704503815e-15 0.024360766828672418 0.05100943273009372 0.0780453726023519 0.1543247135591003 0.1589285627266112 0.17978838386767365 0.26628631797261126 0.28106225576783633 0.31634224874689343 0.3306678268853579 0.3538921115558901 0.4532661485712482 0.48474562174365343 0.5429884457549425 0.6170052059530994 0.6182801630990344 0.6605363008686529 0.7382473036509435 0.7559693320297803 0.9704878904121298 0.9784198015646741 0.9920905237636748 0.9999999999999991 0.9999999999999998 1.0 1.0000000000000002 1.0000000000000009 1.0000000000000018 1.0000000000000018 1.000000000000002 1.084658340009674 1.1183848051177787 1.3070106339506276 1.4264985288006713 1.4502022802091405 1.4920832682941496 1.5167578873517105 1.5628601699034428 1.7549267979824805 1.8602935068118953 1.8920644607655512 1.9571655701748076 2.3158447481519997 2.3559808484930014 2.5342370716984326 2.539533285146207 2.6043635732448114 2.7577351609269787 2.8700524405537218 2.9999999999999982 2.999999999999999 2.999999999999999 2.999999999999999 3.0 3.0000000000000004 3.4295306176002067 3.5595527912113822 3.707751001042045 3.756302997533003 3.786873037858616 3.8199560006554263 3.8694637566207106 3.999999999999997 3.9999999999999973 3.999999999999998 4.0 4.000000000000003 4.000000000000005 4.000000000000007 4.331995404233196 4.33795543640414 4.439406988190937 4.439747698695646 4.499789699020402 4.995614711742918 4.9999999999999964 5.0 5.000000000000005 5.000000000000009 5.13449119289568 5.3478910964857995 5.378747443797628 5.851222708461031 5.9175876595597146 5.9797320844926185 6.000995963909477 6.154153101963288 6.481195519720297 6.645119979736437 6.971446284313483 7.050734297112996 7.571084563070661 8.095890318064365 8.151788432300771 8.758257324605294 9.195126668761867 9.572019156242625 10.120648421357444 10.366808091451896 11.827142084003778 24.04657935864229 
(-6.491869014266096e-16+0j) (-3.3306690738754696e-16+0j) (-2.468018888838936e-16+0j) (-2.269128569037614e-16+0j) (-2.3064981135452188e-17+0j) 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j (1.699843433547811e-16+0j) (1.8136698239889912e-16+0j) (7.625440572785745e-16+0j) (0.01806033232334059+0j) (0.08093429458789869+0j) (0.11110324535723727+0j) (0.18477414584341267+0j) (0.22057437062710253+0j) (0.2295007049846324+0j) (0.303474805137545+0j) (0.40185671410104273+0j) (0.5383099149693579+0j) (0.6068814048286079+0j) (0.6206691114496508+0j) (0.6375026260218332+0j) (0.7198738767457352+0j) (0.733235049404937+0j) (0.7834172279014413+0j) (0.8284424449960326+0j) (0.8583584228437515+0j) (0.9999999999999989+0j) (0.9999999999999991+0j) (0.9999999999999994+0j) (1+0j) (1+0j) (1+0j) (1.0000000000000002+0j) (1.0000000000000004+0j) (1.0000000000000004+0j) (1.0000000000000004+0j) (1.0000000000000004+0j) (1.0000000000000007-1.5270809817002512e-16j) (1.0000000000000007+1.5270809817002512e-16j) (1.000000000000002+0j) (1.0000000000000036+0j) (1.1680793429031064+0j) (1.1927733374126162+0j) (1.2519708326873185+0j) (1.4149586837385997+0j) (1.4808024496743144+0j) (1.6881563823969743+0j) (1.9999999999999984+0j) (1.9999999999999993+0j) (1.9999999999999996+0j) (2.000000000000002+0j) (2.0000000000000027+0j) (2.1933244364557845+0j) (2.397093312516226+0j) (2.453342976893323+0j) (2.803850967775863+0j) (3.0000000000000004+0j) (3.0000000000000018+0j) (3.000000000000005+0j) (3.0000000000000067+0j) (3.0000000000000067+0j) (3.261692213281045+0j) (3.4008713118052407+0j) (3.4174775117963163+0j) (3.801601635040025+0j) (3.9385885035711046+0j) (3.9999999999999942+0j) (3.9999999999999947+0j) (3.9999999999999964+0j) (4+0j) (4.000000000000001+0j) (4.000000000000003+0j) (4.0000000000000036+0j) (4.000000000000005+0j) (4.000000000000011+0j) (4.102952360170457+0j) (4.168593558476632+0j) (4.3553341947323485+0j) (4.615649148978897+0j) (4.789465080290845+0j) (4.900235401035953+0j) (5.000000000000011+0j) (5.125844808610519+0j) (5.493650032247122+0j) (6.330970118017202+0j) (6.5916389698231095+0j) (6.977921477303397+0j) (7.030388025144791+0j) (7.297953381882963+0j) (7.656774174903582+0j) (8.043514260482299+0j) (8.385470065009457+0j) (9.072193806660284+0j) (9.104253361791738+0j) (9.747720856047396+0j) (11.319814005447284+0j) (12.148110322872348+0j) 
(-6.377151009345796e-16+0j) (-5.235612290932501e-16+0j) (-4.77501904119036e-16+0j) (-3.5018777237632627e-17+0j) 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j (2.6409203025190335e-16+0j) (3.27879604020319e-16+0j) (4.884103653986216e-16-3.538661108073976e-16j) (4.884103653986216e-16+3.538661108073976e-16j) (9.525845321183141e-16+0j) (1.0543178130082835e-15+0j) (0.04011144724220593+0j) (0.14103709169070566+0j) (0.18191867069472575+0j) (0.27475901182303986+0j) (0.38286852955763906+0j) (0.4798527125414305+0j) (0.5173297532863569+0j) (0.5548320696618573+0j) (0.7446718840871617+0j) (0.763932022500211+0j) (0.7837853927380493+0j) (0.8103161144971275+0j) (0.8145454227315969+0j) (0.8278184744849902+0j) (0.8571630412909563+0j) (0.9397448201194383+0j) (0.9999999999999982+0j) (1+0j) (1.0000000000000004+0j) (1.0000000000000007+0j) (1.0000000000000016+0j) (1.0000000000000029+0j) (1.0784117324356821+0j) (1.2679491924311233+0j) (1.2974812106844473+0j) (1.4302019993562662+0j) (1.4419216351203654+0j) (1.506375933394368+0j) (1.6239435391055324+0j) (1.6710349582041055+0j) (1.7353126374192702+0j) (1.9999999999999991+0j) (2.0000000000000027+0j) (2.0000000000000075+0j) (2.1232043111882017+0j) (2.4606329277748196+0j) (2.64042020766451+0j) (2.972351482707054+0j) (2.999999999999999+0j) (2.9999999999999996+0j) (3.000000000000001+0j) (3.000000000000004+0j) (3.000000000000005+0j) (3.0000000000000075+0j) (3.000000000000008+0j) (3.0000000000000084+0j) (3.0000000000000084+0j) (3.0694598253390146+0j) (3.080675327207383+0j) (3.3233877274347754+0j) (3.7775655054510677+0j) (3.8433878577359883+0j) (3.872492567091873+0j) (3.9074078091438422+0j) (3.999999999999997+0j) (3.9999999999999982+0j) (3.9999999999999987+0j) (4+0j) (4.000000000000001+0j) (4.000000000000001+0j) (4.000000000000007+0j) (4.000000000000007+0j) (4.239810181200262+0j) (4.66240124576092+0j) (4.732050807568886+0j) (4.927147155522291+0j) (5.000000000000009+0j) (5.00000000000001+0j) (5.15412596994143+0j) (5.236067977499799+0j) (5.279157981505785+0j) (5.790433362634386+0j) (5.999999999999993+0j) (6.540098813331514+0j) (7.177362796079264+0j) (7.816968572221149+0j) (8.446662886068937+0j) (9.902582456942588+0j) (10.482036346026955+0j) (12.049527377613073+0j) (13.088567837841842+0j) (14.23669338640378+0j) 
-1.4451330179941601e-15 -1.1671825580098596e-15 -8.840003858704884e-16 -4.4214694757185e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.262849695681618e-17 2.0853652575066176e-16 0.03937014525546009 0.08605922208350074 0.15400486772899527 0.2306291507489039 0.2778592550630088 0.3271693789077944 0.38071920596524556 0.4205815237177008 0.5437319917739465 0.6224208733937344 0.6346458599810149 0.761886596928003 0.7694884601031378 0.7917751581456209 0.8152709317997567 0.8377223398316245 0.8527844731601445 0.8671409396060554 0.887095968502889 0.9317537105799912 0.9999999999999988 1.000000000000001 1.000000000000001 1.0000000000000033 1.0000000000000036 1.1950732796064591 1.2156015544342729 1.2784201205713486 1.5120365338845259 1.5687221122063493 1.626500411019186 1.6583797750331408 1.8192578084616622 1.8219656676447027 2.000000000000002 2.000000000000007 2.1103102750306304 2.17865597893175 2.233424122159242 2.440042800539228 2.846151380155593 2.9999999999999947 2.999999999999996 2.9999999999999996 3.0 3.000000000000003 3.0000000000000058 3.2018352548742426 3.2791083734259048 3.3506530192788464 3.4771980995578398 3.6657631986961907 3.890850028506904 3.9999999999999942 3.9999999999999973 3.9999999999999987 3.9999999999999987 4.0 4.0 4.000000000000002 4.0000000000000115 4.130755931647629 4.253843508893282 4.768861121767183 4.886709284620928 5.000000000000023 5.152064247471051 5.221626263709676 5.30687490332515 5.663671762717097 5.671455810128105 5.969647323299638 6.252686054557864 6.27367977886203 6.424833777893247 6.545968390044149 6.634008738489079 6.891204204434084 7.162277660168415 7.810373547686484 7.868924687855972 8.115511728573447 8.350492748709808 9.138450374262197 9.95991916464334 10.048297907279713 11.209174560963756 12.308307235249497 12.378319435452854 
(-2.551297010070637e-15+0j) (-1.4895025899294166e-15+0j) (-3.7254435437666153e-16+0j) (-1.9627694780536727e-17-1.8537814232229057e-17j) (-1.9627694780536727e-17+1.8537814232229057e-17j) 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j (1.0171738680974791e-16-1.431769257936691e-16j) (1.0171738680974791e-16+1.431769257936691e-16j) (1.532915508623062e-16+0j) (6.106958862555452e-16+0j) (0.09451294974306047+0j) (0.10949974381897887+0j) (0.17213403306856137+0j) (0.18521090283348046+0j) (0.2384428181681107+0j) (0.2894294077283523+0j) (0.3001704396041023+0j) (0.3310357476705844+0j) (0.4389132032066993+0j) (0.47622339169714323+0j) (0.5697910858843678+0j) (0.6159862949986896+0j) (0.7012128938198249+0j) (0.7154741357083858+0j) (0.999999999999999+0j) (0.9999999999999992+0j) (0.9999999999999998+0j) (1+0j) (1+0j) (1+0j) (1.0000000000000004+0j) (1.000000000000001+0j) (1.0000000000000018+0j) (1.0433416237278603+0j) (1.0896316407879187+0j) (1.1489173940931305+0j) (1.3463972149057586+0j) (1.4287350307638726+0j) (1.4957902342174847+0j) (1.5499665018001583+0j) (1.636671762067318+0j) (1.74276636988833+0j) (1.7472223002611242+0j) (1.9389201666743399+0j) (1.9999999999999991+0j) (2.0000000000000004+0j) (2.0000000000000013+0j) (2.0000000000000058+0j) (2.132076320524659+0j) (2.2276269252601533+0j) (2.8001808864017996+0j) (2.9999999999999956+0j) (2.999999999999996+0j) (3.000000000000001+0j) (3.000000000000001+0j) (3.0000000000000053+0j) (3.000000000000006+0j) (3.0000000000000067+0j) (3.0948032522548936+0j) (3.2476745479221596+0j) (3.286666065317663+0j) (3.5726902073385887+0j) (3.6054460824298262+0j) (3.8025905137221487+0j) (3.9999999999999893+0j) (3.9999999999999987+0j) (3.999999999999999+0j) (4+0j) (4+0j) (4.000000000000003+0j) (4.000000000000004+0j) (4.000000000000006+0j) (4.000000000000007+0j) (4.079440760439011+0j) (4.353395300085988+0j) (4.541688059096384+0j) (4.684686920429902+0j) (4.999999999999993+0j) (5+0j) (5.000000000000004+0j) (5.086505420809196+0j) (5.124885419764586+0j) (5.494522141780086+0j) (5.553848177188442+0j) (5.767203808920276+0j) (6.107583409519329+0j) (6.737013235888811+0j) (6.888199426458561+0j) (7.000000000000003+0j) (7.070422924488101+0j) (7.194762893683947+0j) (8.199114756798776+0j) (9.080930989969483+0j) (9.152618030541682+0j) (9.541069290539747+0j) (10.1659569452882+0j) 
(-1.1862197242236295e-15+0j) (-8.460177643996584e-16+0j) (-3.3735092585826526e-16+0j) (-1.543266938191059e-16+0j) 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j (7.802326952610407e-17+0j) (3.3880916201662206e-16-1.5906744568085792e-16j) (3.3880916201662206e-16+1.5906744568085792e-16j) (1.2625486223517413e-15+0j) (0.05139672287848254+0j) (0.06368441710803988+0j) (0.0762005474028423+0j) (0.13824797850659942+0j) (0.18767101669753475+0j) (0.221145696029472+0j) (0.24238129388247046+0j) (0.3381901254488952+0j) (0.4020610244162151+0j) (0.4177796263910586+0j) (0.6355026740365883+0j) (0.6584249037715284+0j) (0.6686721865563205+0j) (0.738725969301375+0j) (0.9142302359181178+0j) (0.9999999999999976+0j) (0.999999999999998+0j) (0.9999999999999991+0j) (0.9999999999999996+0j) (0.9999999999999999+0j) (1+0j) (1+0j) (1+0j) (1.0000000000000007+0j) (1.0000000000000009+0j) (1.0000000000000018+0j) (1.0000000000000056+0j) (1.1044875014638+0j) (1.1687147321856595+0j) (1.1990776859707277+0j) (1.201629789972019+0j) (1.3545577686918913+0j) (1.389632297310627+0j) (1.5943292106435547+0j) (1.8872267994451415+0j) (1.9184772306588165+0j) (1.929698688169354+0j) (1.9353011249033818+0j) (1.999999999999996+0j) (1.9999999999999982+0j) (2.0000000000000004+0j) (2.0000000000000013+0j) (2.0000000000000013+0j) (2.000000000000002+0j) (2.0000000000000124+0j) (2.4829611531844464+0j) (2.7766220615161243+0j) (2.9999999999999836+0j) (3.0000000000000036+0j) (3.0000000000000053+0j) (3.0000000000000098+0j) (3.0000000000000098+0j) (3.0000000000000115+0j) (3.000000000000019+0j) (3.2875404030872306+0j) (3.680777013963828+0j) (3.6814957175796232+0j) (3.775240616356672+0j) (3.9999999999999987+0j) (4.000000000000002+0j) (4.000000000000006+0j) (4.000000000000007+0j) (4.000000000000023+0j) (4.071182176874422+0j) (4.327741887349705+0j) (4.480402689926303+0j) (4.6283782006389185+0j) (4.7441695834767925+0j) (4.99238225331752+0j) (4.999999999999996+0j) (5.0000000000000036+0j) (5.0000000000000036+0j) (5.000000000000011+0j) (5.0000000000000115+0j) (5.00000000000002+0j) (5.262266829666071+0j) (5.517368949096778+0j) (5.856347880977582+0j) (5.9999999999999885+0j) (6.000000000000007+0j) (6.000000000000038+0j) (6.386631926905117+0j) (6.614053095700651+0j) (6.897778097252562+0j) (7.132056917628276+0j) (7.2428962842967675+0j) (7.854973509853827+0j) (8.000000000000005+0j) (8.05760555152119+0j) (8.166428329857833+0j) (9.435546005698528+0j) (10.100879854204114+0j) (17.108825762308708+0j) 
(-1.9832270321177794e-15+0j) (-1.1494808812064887e-15+0j) (-7.047999009765033e-16+0j) (-2.1361729027689383e-16+0j) (-1.4110836327341727e-16-1.6058880259691177e-17j) (-1.4110836327341727e-16+1.6058880259691177e-17j) 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j (1.8674289755236362e-18-3.868872878530564e-16j) (1.8674289755236362e-18+3.868872878530564e-16j) (3.991790395446466e-17+0j) (3.790338127108481e-16+0j) (5.719240376081156e-16+0j) (0.08495270877971217+0j) (0.11246895929170093+0j) (0.13127548123237123+0j) (0.21952035001535486+0j) (0.2383310448827304+0j) (0.2994172058930112+0j) (0.42001612412403067+0j) (0.453848101742824+0j) (0.5208693896801364+0j) (0.6219730565275828+0j) (0.6391022410247342+0j) (0.6733614561654677+0j) (0.7639320225002068+0j) (0.768715617785873+0j) (0.8204448472401813+0j) (0.8664883236159664+0j) (0.9598421811356528+0j) (0.9999999999999971+0j) (0.9999999999999982+0j) (0.9999999999999984+0j) (0.9999999999999998+0j) (1.0000000000000002-3.040470972244059e-16j) (1.0000000000000002+3.040470972244059e-16j) (1.0000000000000004+0j) (1.0000000000000004+0j) (1.0000000000000009+0j) (1.0000000000000024+0j) (1.0851018594654052+0j) (1.2992775535809469+0j) (1.3332487726867508+0j) (1.4162375039189274+0j) (1.5066611580496552+0j) (1.5088652600583254+0j) (1.5602462054893116+0j) (1.7989472025414739+0j) (1.8822078901031565+0j) (1.9219597303755225+0j) (2+0j) (2.0000000000000018+0j) (2.0000000000000018+0j) (2.0000000000000027+0j) (2.0000000000000053+0j) (2.290158663960706+0j) (2.3872852015638184+0j) (2.5271370060579983+0j) (2.569196491883158+0j) (2.621051994943666+0j) (2.9999999999999996+0j) (3+0j) (3.000000000000001+0j) (3.0000000000000018+0j) (3.0000000000000018+0j) (3.0000000000000027+0j) (3.000000000000003+0j) (3.0000000000000036+0j) (3.000000000000004+0j) (3.0000000000000084+0j) (3.0694855804869263+0j) (3.4626580623891274+0j) (3.4883215309387463+0j) (3.844477752379451+0j) (3.8683952669340393+0j) (3.9999999999999947+0j) (3.9999999999999982+0j) (4.000000000000002+0j) (4.0000000000000036+0j) (4.0000000000000036+0j) (4.000000000000004+0j) (4.011850490414+0j) (4.333081715038782+0j) (4.343721122502238+0j) (4.8600125844210735+0j) (4.918150173630213+0j) (5.000000000000002+0j) (5.000000000000023+0j) (5.152065100640289+0j) (5.236067977499801+0j) (5.335636145036745+0j) (5.6957024585851155+0j) (6.226893967943724+0j) (6.61843582035511+0j) (7.015751199084646+0j) (8.229264191600612+0j) (9.164010752121664+0j) (9.252089593393892+0j) (9.269806849439973+0j) (9.999435929844553+0j) (11.741942587014607+0j) (12.261156883503135+0j) (14.29944465848525+0j) 
(-1.2133009932029147e-15+0j) (-1.6961452231830296e-16+0j) (-7.970135914007345e-17+0j) 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j (6.865535905179852e-17+0j) (7.279928058385759e-17-1.8735656667147041e-16j) (7.279928058385759e-17+1.8735656667147041e-16j) (1.824705560203701e-16+0j) (5.796339287798371e-16+0j) (1.1314308323436308e-15+0j) (0.07056842216035333+0j) (0.09577515759602703+0j) (0.19032039219856556+0j) (0.3436609401556192+0j) (0.36705999975521175+0j) (0.4273301508852815+0j) (0.4858630706647086+0j) (0.485863070664711+0j) (0.5160567458541675+0j) (0.5188056959079845+0j) (0.5367579137670871+0j) (0.585786437626905+0j) (0.657472319121392+0j) (0.7362940542725145+0j) (0.7471955503558334+0j) (0.7753967184834901+0j) (0.8090297497703876+0j) (0.8254115274612315+0j) (0.8851731545021696+0j) (0.9999999999999994+0j) (0.9999999999999998+0j) (1+0j) (1.0000000000000004+0j) (1.000000000000002+0j) (1.13545859648984+0j) (1.148614635942208+0j) (1.421754592612763+0j) (1.457108311575453+0j) (1.4742884164457633+0j) (1.4936859367159545+0j) (1.675842879029994+0j) (1.7213650291972158+0j) (1.7382271822723816+0j) (1.9274013247799073+0j) (1.9999999999999987+0j) (1.9999999999999987+0j) (1.999999999999999+0j) (2.0000000000000018+0j) (2.0000000000000027+0j) (2.000000000000004+0j) (2.0647344068243503+0j) (2.3111078174659863+0j) (2.3574538893800097+0j) (2.428006731683796+0j) (2.4280067316837997+0j) (2.5564470626600055+0j) (2.6543357455531322+0j) (2.669409367230684+0j) (2.799017707821669+0j) (2.8956709994715406+0j) (2.999999999999999+0j) (3.0000000000000036+0j) (3.0000000000000036+0j) (3.0000000000000044+0j) (3.00000000000001+0j) (3.274256144364389+0j) (3.4142135623730954+0j) (3.566162755810665+0j) (3.6971036145778706+0j) (3.852157890892552+0j) (3.8878026808169777+0j) (3.9926580709203368+0j) (4.000000000000009+0j) (4.00000000000001+0j) (4.170086486626058+0j) (4.439512597263072+0j) (4.527844306227232+0j) (4.780399725211639+0j) (4.810984345481101+0j) (4.907024813207749+0j) (5.0000000000000115+0j) (5.086130197651489+0j) (5.086130197651503+0j) (5.503278175793958+0j) (5.7339613226802975+0j) (6.026838151399665+0j) (6.516044992727785+0j) (6.705610381420545+0j) (7.000000000000014+0j) (7.063391958190645+0j) (7.201277860059007+0j) (8.059469292558635+0j) (8.069761656889664+0j) (8.60335205110356+0j) (8.847856025603113+0j) (9.410943319199395+0j) (9.609631514028417+0j) (9.761641207735902+0j) (10.178668751188356+0j) (10.613673197748293+0j) (11.74000311986968+0j) (11.991525256167854+0j) (14.452845940519659+0j) 
-1.2312491983232146e-15 -5.213458377087644e-16 -2.1955178069078608e-16 -1.734401801819295e-16 -6.054837988213756e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0300162031639535e-17 2.611544622267943e-16 8.405747848195129e-16 8.493098241494149e-16 1.2179712690433203e-15 1.550502611540496e-15 0.10440814572652805 0.16214065960580618 0.25652153648823944 0.2830149347297175 0.373801931472707 0.3951143144231194 0.4586187348508894 0.5035503179432885 0.5536486027700059 0.6848935354996122 0.6972243622680039 0.758519571188193 0.8001893309587657 0.8431046035581536 0.9663044328009228 0.9999999999999984 0.9999999999999993 0.9999999999999999 1.0000000000000007 1.0000000000000018 1.2679491924311248 1.3543976769258146 1.3819660112501073 1.548754083907085 1.6972243622680048 1.8282967284689793 1.9999999999999938 1.9999999999999984 1.9999999999999998 2.0000000000000067 2.2030562915399567 2.3321077675675586 2.8814317564346976 2.999999999999992 2.9999999999999956 2.9999999999999982 3.0 3.0 3.0000000000000004 3.000000000000001 3.000000000000001 3.000000000000001 3.0000000000000013 3.000000000000003 3.0000000000000036 3.000000000000017 3.236607480742412 3.3924561402366904 3.4848619528719276 3.618033988749898 3.761798574617231 3.777270027189012 3.886094551288058 3.9999999999999836 3.9999999999999947 3.999999999999998 4.000000000000011 4.302775637731999 4.712521951731295 4.732050807568881 4.894221463900756 4.9164753926088185 4.999999999999997 5.000000000000009 5.000000000000016 5.302775637731983 5.502913509279288 6.000000000000001 6.14133611565539 6.5343691922839895 6.541381265149118 7.0166375256524045 8.024099282686416 8.121373619794387 8.337805356228507 9.482975748436182 9.802333868000318 13.140592024787916 
(-4.6523350632136e-16-1.7823261265325545e-16j) (-4.6523350632136e-16+1.7823261265325545e-16j) (-4.575986104139111e-16+0j) (-1.419853865579187e-16+0j) 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j (3.617803426796341e-17+0j) (4.615505611515526e-16+0j) (5.459274602991117e-16+0j) (1.7147855992417205e-15+0j) (0.08484263871159183+0j) (0.10681337538617103+0j) (0.15179929287900915+0j) (0.19332757634786155+0j) (0.21334988135790653+0j) (0.27934503408822786+0j) (0.324655632058823+0j) (0.38597091003436795+0j) (0.41559168292665954+0j) (0.4283016969750794+0j) (0.5700766512338992+0j) (0.6037517722408401+0j) (0.6979277702499972+0j) (0.738374787386865+0j) (0.7710332780543783+0j) (0.7851412301237775+0j) (0.8280073150475386+0j) (0.9999999999999948+0j) (1.0000000000000004+0j) (1.0000000000000022+0j) (1.000000000000003+0j) (1.0289609617435873+0j) (1.0804365807041008+0j) (1.1220280486288317+0j) (1.197650165073847+0j) (1.4222969929894473+0j) (1.5188056959079843+0j) (1.5539570422785867+0j) (1.6817708081778986+0j) (1.7159267204570572+0j) (1.7659630059595728+0j) (1.8291303637513276+0j) (1.8528978882320482+0j) (1.9999999999999987+0j) (1.9999999999999996+0j) (2+0j) (2.0000000000000018+0j) (2.000000000000002+0j) (2.000000000000006+0j) (2.0000000000000107+0j) (2.0534679587563454+0j) (2.500713368480726+0j) (2.5612938142941655+0j) (2.6042348211791517+0j) (2.7724785311870046+0j) (2.9999999999999987+0j) (2.999999999999999+0j) (3.000000000000004+0j) (3.000000000000006+0j) (3.0000000000000178+0j) (3.0465509610189145+0j) (3.275729611813183+0j) (3.311107817465978+0j) (3.4148418131650224+0j) (3.829520318449698+0j) (3.9999999999999973+0j) (4.0000000000000036+0j) (4.000000000000006+0j) (4.000000000000007+0j) (4.225034203791892+0j) (4.254094456400766+0j) (4.44758618025229+0j) (4.693956141741678+0j) (4.872477280249704+0j) (4.932408812172269+0j) (4.989499650196598+0j) (5.170086486626044+0j) (5.59331906885129+0j) (5.7297911815983795+0j) (5.897899245273706+0j) (5.951131444056731+0j) (5.999999999999994+0j) (5.999999999999995+0j) (6.000000000000001+0j) (6.000000000000003+0j) (6.000000000000025+0j) (6.107061560809422+0j) (6.220325565119867+0j) (6.437594745114607+0j) (6.852785240525846+0j) (6.982697435504963+0j) (8.393349923186822+0j) (9.017451287335524+0j) (10.085143640235605+0j) (10.200348744621172+0j) (11.280649102692621+0j) (11.947234788824806+0j) 
