0j 0j 0j 0j (5.400224244308653e-16-3.2806593629018203e-16j) (5.400224244308653e-16+3.2806593629018203e-16j) (9.421222464944822e-16+0j) (0.02105725535658333+0j) (0.06715450720956416+0j) (0.07534793106895697+0j) (0.10338945072424983+0j) (0.18502244712493596+0j) (0.19344079892094013+0j) (0.23545694021377006+0j) (0.286480376550545+0j) (0.3096068251630122+0j) (0.35714726500493965+0j) (0.41854562369111886+0j) (0.46845026165221454+0j) (0.49252830297718864+0j) (0.5769348173324504+0j) (0.6789218701830256+0j) (0.7123468943148158+0j) (0.7731873330718106+0j) (0.7802506661568865+0j) (0.8969329194860517+0j) (0.9999999999999984+0j) (0.9999999999999992+0j) (1.0000000000000009+0j) (1.000000000000003+0j) (1.120145847160556+0j) (1.192314540946072+0j) (1.2004949957079043+0j) (1.3052873947892278+0j) (1.3151839213343939+0j) (1.4420652510222123+0j) (1.453163914263603+0j) (1.5383556472835231+0j) (1.6646000030936683+0j) (1.774771560559826+0j) (1.851391469110242+0j) (2.0000000000000018+0j) (2.0000000000000067+0j) (2.282925894813051+0j) (2.459605575888018+0j) (2.4651447773427058+0j) (2.5608623775609107+0j) (2.5714077392984636+0j) (2.746060586858041+0j) (2.7608375809892265+0j) (2.7859217322343794+0j) (2.9999999999999885+0j) (2.999999999999997+0j) (2.9999999999999996+0j) (3.0000000000000018+0j) (3.00000000000001+0j) (3.280614247546292+0j) (3.304206419055757+0j) (3.631985053645521+0j) (3.9999999999999925+0j) (3.9999999999999942+0j) (3.9999999999999947+0j) (3.9999999999999982+0j) (3.9999999999999982+0j) (3.999999999999999+0j) (3.9999999999999996+0j) (3.9999999999999996+0j) (4.000000000000001+0j) (4.000000000000001+0j) (4.0000000000000036+0j) (4.000000000000008+0j) (4.000000000000009+0j) (4.346397709184371+0j) (4.375614554351822+0j) (4.4452884982460885+0j) (4.476751222099302+0j) (4.483126901322382+0j) (4.806472012123201+0j) (4.924682279609473+0j) (4.999999999999989+0j) (4.999999999999998+0j) (4.999999999999999+0j) (5+0j) (5.000000000000002+0j) (5.051398714834241+0j) (5.125990127127486+0j) (5.204583364620269+0j) (5.545967830967188+0j) (5.6139404502079655+0j) (5.772860510695309+0j) (5.84033563004311+0j) (5.999999999999982+0j) (5.999999999999997+0j) (5.999999999999998+0j) (6.063954138291998+0j) (6.261297883093643+0j) (6.393890306592525+0j) (6.441756634913308+0j) (6.577071377388588+0j) (6.762911074842978+0j) (6.97168076039007+0j) (7.10636740921574+0j) (7.488986868079579+0j) (7.517836813521121+0j) (7.5618308142275925+0j) (7.999999999999977+0j) (8.000000000000002+0j) (8.723888399454859+0j) (9.283076189755757+0j) (10.523072898003596+0j) (11.480747592990674+0j) (13.061588879138087+0j) (13.427083137961231+0j) 
(-1.2022346141907801e-15+0j) (-7.184042039773066e-16+0j) (-4.288096115912553e-16+0j) (-1.5862527872328112e-19+0j) 0j 0j 0j 0j (3.5379605819935435e-16+0j) (4.3292829781101046e-16+0j) (7.714268368650089e-16+0j) (1.40911793836429e-15-1.8580414171000045e-16j) (1.40911793836429e-15+1.8580414171000045e-16j) (0.03370543354319823+0j) (0.08178598022810407+0j) (0.12952667365208795+0j) (0.1833980888492995+0j) (0.21512513462743366+0j) (0.2835707357250924+0j) (0.30828914760140225+0j) (0.38351341678127465+0j) (0.45045281841274615+0j) (0.5057620093843611+0j) (0.6721968457270623+0j) (0.7540232452968846+0j) (0.8306658636083155+0j) (0.8549727898301035+0j) (0.8798597166833482+0j) (0.9999999999999979+0j) (0.9999999999999999+0j) (1.000000000000001+0j) (1.000000000000001+0j) (1.0000000000000016+0j) (1.000000000000002+0j) (1.023569012661351+0j) (1.0820895544894875+0j) (1.3554613137911369+0j) (1.4347500647837448+0j) (1.4584943650514366+0j) (1.4678662044694484+0j) (1.4731226504299244+0j) (1.4866378684047137+0j) (1.710738233829458+0j) (1.8343736020035268+0j) (1.9999999999999973+0j) (1.9999999999999998+0j) (2.0000000000000004+0j) (2.0000000000000027+0j) (2.0554913992785693+0j) (2.2830063765560493+0j) (2.383060074490087+0j) (2.446224119871224+0j) (2.479984105257867+0j) (2.999999999999992+0j) (2.9999999999999956+0j) (3.0000000000000053+0j) (3.000000000000007+0j) (3.0000000000000093+0j) (3.0000000000000155+0j) (3.140974688976243+0j) (3.267846368898102+0j) (3.394808747192548+0j) (3.4817335096172743+0j) (3.8397041059549375+0j) (3.8499762860846793+0j) (3.8547194555991777+0j) (3.9999999999999956+0j) (3.9999999999999973+0j) (3.9999999999999996+0j) (3.9999999999999996+0j) (4+0j) (4.000000000000001+0j) (4.000000000000002+0j) (4.000000000000002+0j) (4.0000000000000036+0j) (4.000000000000007+0j) (4.000000000000012+0j) (4.000000000000012+0j) (4.000000000000014+0j) (4.147975841682177+0j) (4.503237552080146+0j) (4.808727600567965+0j) (4.960443148206329+0j) (4.999999999999989+0j) (4.999999999999995+0j) (4.9999999999999964+0j) (4.999999999999997+0j) (5.000000000000003+0j) (5.0000000000000036+0j) (5.000000000000006+0j) (5.000000000000007+0j) (5.000000000000011+0j) (5.096257613733374+0j) (5.447159974629676+0j) (5.587631795650194+0j) (5.922269099249528+0j) (6.000000000000009+0j) (6.000000000000018+0j) (6.000000000000021+0j) (6.00000000000003+0j) (6.162592850015655+0j) (6.210959752766097+0j) (6.436354791022373+0j) (6.468723514644812+0j) (6.787528522717532+0j) (7.40249422529435+0j) (7.6426223971340725+0j) (8+0j) (8.271388264414655+0j) (9.043927275901346+0j) (9.081668421445242+0j) (10.510983050784542+0j) (13.135574300418341+0j) 
(-1.089362154880471e-15+0j) (-8.98589518686977e-16+0j) (-8.271610261919791e-16+0j) (-5.495734944355607e-16-2.425538431671934e-16j) (-5.495734944355607e-16+2.425538431671934e-16j) 0j 0j (1.3377998219932855e-16+0j) (5.445271475278915e-16+0j) (0.012752567764294828+0j) (0.05490768561735576+0j) (0.09836062804190648+0j) (0.10917416416638956+0j) (0.20747729670417028+0j) (0.23846474191043757+0j) (0.2547035933004031+0j) (0.30171983245994266+0j) (0.38060245318069064+0j) (0.41591866826618196+0j) (0.4584617644121679+0j) (0.5537756076189516+0j) (0.6013864274469743+0j) (0.668769465538294+0j) (0.7826584871066168+0j) (0.8232644599286185+0j) (0.9999999999999983+0j) (0.9999999999999988+0j) (0.9999999999999992+0j) (1.0000000000000009+0j) (1.0000000000000027+0j) (1.1183061243680332+0j) (1.2804806042895676+0j) (1.3519414987663592+0j) (1.4620805056222719+0j) (1.4811927529591442+0j) (1.4885947147567187+0j) (1.5829933338852717+0j) (1.7180999708607345+0j) (1.7272603975120147+0j) (1.7771683539662206+0j) (1.8880518879630692+0j) (1.8900533156466561+0j) (1.9597677881750337+0j) (1.9999999999999987+0j) (2.0000000000000004+0j) (2.0000000000000013+0j) (2.000000000000005+0j) (2.0000000000000058+0j) (2.2551365777895813+0j) (2.3838729907942144+0j) (2.4510003418283435+0j) (2.5701331747433924+0j) (2.999999999999997+0j) (2.999999999999997+0j) (2.9999999999999973+0j) (2.9999999999999996+0j) (3.0000000000000004+0j) (3.000000000000001+0j) (3.0000000000000058+0j) (3.204236590217157+0j) (3.266786041145955+0j) (3.3572125559307007+0j) (3.667733661926916+0j) (3.736683185664738+0j) (3.878185890763722+0j) (3.999999999999983+0j) (3.9999999999999987+0j) (3.999999999999999+0j) (3.999999999999999+0j) (3.9999999999999996+0j) (4.000000000000001+0j) (4.000000000000002+0j) (4.000000000000007+0j) (4.0000000000000115+0j) (4.330101452489899+0j) (4.5932333445093905+0j) (4.663324014786273+0j) (4.941073388350051+0j) (4.999999999999995+0j) (5.000000000000002+0j) (5.000000000000002+0j) (5.000000000000002+0j) (5.0000000000000036+0j) (5.0000000000000036+0j) (5.000000000000006+0j) (5.000000000000008+0j) (5.000000000000013+0j) (5.000000000000025+0j) (5.240431618930163+0j) (5.252331289337839+0j) (5.298761986805018+0j) (5.733085093040722+0j) (5.7973029884638985+0j) (5.962761549636323+0j) (5.99999999999999+0j) (6.00000000000002+0j) (6.2312412686522825+0j) (6.653214745969212+0j) (6.7011108902436805+0j) (6.73411775487372+0j) (7.092160687436991+0j) (7.548874711932529+0j) (7.650437295239899+0j) (7.702003080265861+0j) (8.000000000000009+0j) (8.534801413820588+0j) (8.596524177317107+0j) (8.723974606125799+0j) (9.718702940982343+0j) (9.935179552176939+0j) (10.487938421803511+0j) (11.459847224246772+0j) (12.95809439952422+0j) 
-2.169427894941846e-15 -1.3710837651399533e-15 -6.646210455417025e-16 -2.2225620120262893e-16 0.0 0.0 0.0 0.0 2.1132540645517588e-16 4.4114226281096014e-16 7.829109698559798e-16 0.008061695607508029 0.05233713021882566 0.08128761846008387 0.10978718606455809 0.1798425272917558 0.2032572152533109 0.2870907849189659 0.2964060374236209 0.3662617230901757 0.3741307940860189 0.43906844823702484 0.518805695907983 0.5624091796115902 0.5692145620112218 0.6063218242124976 0.6769623309458591 0.7593382730519335 0.8066236032652969 0.999999999999999 1.0000000000000002 1.0000000000000004 1.0000000000000018 1.0000000000000022 1.0035097252949607 1.0228693712006445 1.249422558558835 1.277121383067147 1.4697432178998584 1.6381298585608004 1.6859091956981058 1.6911436502041206 1.7348008631037055 1.8418668392502544 1.8944870028852145 1.922868743026074 1.9999999999999933 2.000000000000002 2.0000000000000067 2.000000000000009 2.243798653958111 2.3111078174659796 2.620168039610654 2.9999999999999942 2.9999999999999987 2.999999999999999 3.000000000000001 3.000000000000003 3.000000000000004 3.0000000000000107 3.191515732458248 3.5208109908579077 3.6188549299077595 3.8510156384403045 3.954060535715209 3.999999999999994 3.9999999999999982 3.9999999999999982 3.9999999999999987 3.9999999999999987 3.999999999999999 3.999999999999999 4.0 4.000000000000001 4.000000000000002 4.000000000000002 4.000000000000002 4.0000000000000036 4.0000000000000036 4.000000000000004 4.000000000000006 4.000000000000009 4.147418390820287 4.170086486626046 4.170152734510474 4.312983338589981 4.494356398872849 4.648388672122873 4.743857122222502 4.812732366824312 4.999999999999998 5.000000000000008 5.038386403006382 5.107230321137632 5.152674746105711 5.685967470688875 5.7113944674681045 5.900792509028297 5.923181664135305 6.1796794395902666 6.466839428644421 6.848157047876815 7.000000000000013 7.062017348888166 7.523649722589017 8.00000000000002 8.08250556824969 8.263947288787618 8.803819689774935 9.408813705955906 9.702803868469315 10.562089096231775 11.435663325960377 
-7.588359868657474e-16 -3.5138807901756173e-16 -1.6135891279867444e-16 -1.5558760960105708e-16 0.0 0.0 1.7303541397459332e-16 2.087624096964422e-16 8.010980234901893e-16 1.9150447613805673e-15 0.02390579816129927 0.06421636876653787 0.16159848653206205 0.24577483922715204 0.3191669623169414 0.34067840896424495 0.4133768914317457 0.4356551116560214 0.493825196513085 0.582132889716953 0.837552806753165 0.9417741625651855 0.9702649862938617 0.9999999999999979 0.9999999999999987 0.9999999999999999 1.0000000000000016 1.0000000000000062 1.039631863397589 1.2014306727258728 1.3157820688945032 1.4343387240363927 1.5147370682068642 1.6237196993415695 1.636724708905468 1.758982114825361 1.8387793149950018 1.8946261156818345 1.999999999999999 2.000000000000001 2.0000000000000027 2.0000000000000036 2.000000000000004 2.259339932464772 2.4357289817477237 2.555123298072342 2.595526444834187 2.999999999999994 2.999999999999997 2.999999999999998 2.999999999999999 2.999999999999999 2.9999999999999996 3.0000000000000058 3.0000000000000067 3.1093775598180318 3.1934667720373455 3.217164131682096 3.5222081429194416 3.7261616461357487 3.8643593100575426 3.999999999999998 3.9999999999999987 3.9999999999999996 4.0 4.000000000000003 4.0000000000000115 4.108309438971725 4.431071087731526 4.503546482413 4.677191433942867 4.706216593386977 4.7542618838029425 4.8365362736787985 4.905867588997074 4.999999999999996 4.999999999999998 5.0 5.0 5.0 5.000000000000001 5.0000000000000036 5.000000000000005 5.000000000000009 5.00000000000001 5.000000000000013 5.000000000000021 5.15470931659268 5.27724444335241 5.481633503205886 5.545553495480783 5.739266485334315 5.883629189627202 5.999999999999998 6.000000000000006 6.000000000000009 6.195163457446207 6.305740414024844 6.793793610371866 7.679211433435921 7.96058465238786 7.999999999999993 7.9999999999999964 8.11492757172303 8.371546944273197 8.655897804470964 8.855020873325785 9.259369203948959 10.44246411637826 11.22995982530737 11.860557832597678 13.300856300674724 14.402737263437475 
-1.691364933628993e-15 -5.36075673126626e-16 -4.718638227495591e-16 -2.97597180787597e-16 0.0 0.0 0.0 0.0 2.807865033679016e-16 4.771502711077518e-16 0.018088058579582386 0.07185261941952381 0.13465987607430624 0.16626439176831914 0.17097838732490983 0.20095778539767703 0.2283792398507509 0.3707161329078298 0.4384471871911699 0.4417319412627254 0.49494896044631853 0.5367564258861519 0.5756837392104067 0.6389185924025467 0.6625846718044828 0.7031142627857441 0.7394767275617755 0.9999999999999987 1.0 1.000000000000002 1.0000000000000024 1.0000000000000027 1.0000000000000044 1.0701614744008283 1.0803586206617968 1.1486080198969455 1.1983661084299932 1.6164505558426607 1.6780639444387608 1.7310019544171067 1.825939991609877 1.9453581922153598 2.000000000000001 2.000000000000003 2.2986789859186123 2.49344599412111 2.7190631221349464 2.81206082520323 2.999999999999997 2.999999999999998 2.9999999999999987 2.9999999999999987 2.999999999999999 3.0 3.0000000000000004 3.000000000000001 3.000000000000002 3.000000000000003 3.000000000000004 3.000000000000005 3.0000000000000084 3.0000000000000093 3.3636371043107514 3.9999999999999987 3.999999999999999 3.999999999999999 3.9999999999999996 3.9999999999999996 3.9999999999999996 4.000000000000003 4.000000000000003 4.000000000000008 4.00000000000001 4.000000000000012 4.201313355398252 4.399115808075535 4.449791294948964 4.542258838918121 4.561552812808842 4.999999999999991 4.999999999999997 5.000000000000002 5.000000000000003 5.000000000000005 5.0000000000000115 5.000000000000012 5.085405474354385 5.434373728551994 5.6077792278297425 5.7077716934018525 5.900426391929723 5.983314176335742 5.9999999999999964 6.00000000000001 6.116510829330494 6.416652641756454 6.459138355331429 7.139691276550962 7.140995344148915 7.528820755907826 7.838143488514909 7.9999999999999805 8.0 8.00000000000001 8.000000000000012 8.000000000000012 9.015488412814456 9.07887532240994 9.39389721596812 9.820541063227198 10.97848794442241 12.179364720445369 12.445535933142395 
-8.724857927417761e-16 -2.370861104427514e-16 0.0 0.0 0.0 1.349066441815057e-17 1.1422309052088184e-16 2.4102121557986616e-16 8.518941878714056e-16 1.057527386683398e-15 0.019900620347583782 0.07543534719975618 0.09064299914960758 0.1712494790566405 0.20550409281262455 0.23166222112758053 0.26682423604635097 0.33084989183190555 0.3549815990392185 0.4227214205144058 0.5027986999899086 0.5100865552496481 0.545994609243439 0.5857864376269055 0.5982235317512209 0.6273832198547002 0.6762251184825793 0.8891209529569877 0.9999999999999988 1.0000000000000004 1.0000000000000013 1.0000000000000024 1.0000000000000033 1.1749531748978792 1.4654498458175078 1.6166319612850835 1.7680316072168172 1.7931645869833512 1.9023792684031842 1.999999999999995 1.999999999999998 2.0000000000000004 2.000000000000001 2.0000000000000013 2.000000000000003 2.000000000000005 2.0000000000000084 2.441302422466811 2.488614525525956 2.534160429835982 2.658851777569125 2.9270035972283432 2.9999999999999973 2.999999999999999 2.9999999999999996 3.0000000000000013 3.000000000000005 3.0000000000000098 3.0000000000000115 3.205750506041895 3.2479490310658923 3.340036849625605 3.3471095114251206 3.414213562373096 3.621466384679623 3.807350709528527 3.9326377450100725 4.000000000000001 4.000000000000005 4.000000000000005 4.000000000000006 4.000000000000014 4.000000000000018 4.263345181471401 4.468235178311845 4.5118606944899575 4.648616633428372 4.999999999999993 4.9999999999999964 4.9999999999999964 4.999999999999998 4.999999999999999 5.0000000000000036 5.000000000000006 5.000000000000011 5.000000000000016 5.000000000000019 5.030802256541255 5.203685766166898 5.382482279884171 5.68697434975924 5.7972914663256905 6.037702174542186 6.335255369541649 6.894921400100944 6.954963925435958 6.999783403426388 7.000000000000014 7.000000000000046 7.388584720845285 7.799275095367278 7.99999999999995 7.999999999999996 8.000000000000012 8.000000000000039 8.122961306316974 9.000000000000014 9.016202694112522 9.305968385869466 9.584750348378911 10.31992146098334 12.247817501911362 13.206149877528278 
-1.494578900384947e-15 -7.736479486249846e-16 -5.60611522892118e-16 -2.0666323253206069e-16 0.0 0.0 0.0 0.0 0.0 8.836700341876173e-17 3.7586430001647864e-16 5.329526498376434e-16 9.792168590588587e-16 1.3453364844050621e-15 0.020985415052335792 0.057099409414063065 0.137408477244931 0.17748864712443146 0.19218883617178473 0.23652493295883964 0.35179053311308867 0.35976733470051625 0.421430262568539 0.4768601804985373 0.5379296645682093 0.5722384625580743 0.6349142679206458 0.709293594064528 0.82331089843664 0.9999999999999978 0.9999999999999983 0.9999999999999996 0.9999999999999998 1.0 1.0 1.0000000000000009 1.000000000000002 1.0000000000000027 1.0000000000000033 1.0223956092706743 1.1447232492641908 1.2381839931927212 1.5594199258263948 1.6110857214749872 1.6515514185309967 1.6984792524013737 1.7767827352503789 1.9538418909167992 2.0 2.0000000000000004 2.000000000000001 2.0000000000000027 2.0000000000000027 2.0000000000000036 2.0000000000000053 2.083825638765803 2.2604951359712993 2.3037497789184513 2.454367374229136 2.6034582831203634 2.783454712179735 2.999999999999993 3.0000000000000044 3.000000000000007 3.0000000000000084 3.0000000000000098 3.3324630999886002 3.500147219873671 3.7021289746703676 3.880681314671896 3.9999999999999942 3.999999999999995 3.999999999999999 4.000000000000002 4.0000000000000036 4.000000000000008 4.00000000000001 4.0000000000000115 4.135803642944242 4.645702562151943 4.839332457983253 4.999999999999987 4.999999999999992 4.999999999999995 4.9999999999999964 4.999999999999999 5.000000000000005 5.000000000000006 5.0000000000000195 5.000000000000021 5.299312807138527 5.339330437563991 5.359858844942936 5.5661193038215755 5.999999999999988 6.0 6.000000000000003 6.000000000000013 6.000000000000014 6.569279326358767 6.690637066031927 6.998888354865055 7.082622249626942 7.72299961083691 7.7882017346267185 8.021830510419697 8.321084559224378 8.45877713964424 9.036271455241994 9.057842446322198 10.427520474666613 11.303642837236321 15.064475933438793 
(-2.4742544530016302e-15+0j) (-6.959247149479597e-16+0j) (-5.891870863553167e-16+0j) (-4.440892098500626e-16+0j) 0j 0j 0j (7.301468346412229e-16+0j) (2.191693183372507e-15+0j) (3.3782601192569752e-15+0j) (0.023518044253424204+0j) (0.0911421145792437+0j) (0.1266880579123958+0j) (0.17206877378678104+0j) (0.17919648223068083+0j) (0.23117840172018853+0j) (0.27711654890479087+0j) (0.44108319411098507+0j) (0.5056276452476192+0j) (0.5162371697528564+0j) (0.534256065297403+0j) (0.622162605952482+0j) (0.6844227989176509+0j) (0.8817848885809149+0j) (0.8830186453353956+0j) (0.9999999999999988+0j) (0.9999999999999998+0j) (1.000000000000002+0j) (1.0221422546009222+0j) (1.195449080220014+0j) (1.3473660214921759+0j) (1.462579635629289+0j) (1.5562636826402403+0j) (1.734702023475738+0j) (1.8327726543803704+0j) (1.8575671336935353+0j) (1.9142480095796996+0j) (1.943278417713229+0j) (1.9999999999999962+0j) (1.9999999999999976-5.155369359468229e-16j) (1.9999999999999976+5.155369359468229e-16j) (1.9999999999999982+0j) (1.9999999999999993+0j) (2.0000000000000027+0j) (2.0000000000000067+0j) (2.4354847350424578+0j) (2.474696995770041+0j) (2.7062606769827062+0j) (2.999999999999993+0j) (2.999999999999999+0j) (3.0000000000000004+0j) (3.0000000000000018+0j) (3.0000000000000036+0j) (3.000000000000004+0j) (3.0000000000000067+0j) (3.2671729100603866+0j) (3.398185332598807+0j) (3.487797997199147+0j) (3.6740815632042083+0j) (3.7422296492108416+0j) (3.865355122375385+0j) (3.9999999999999925+0j) (3.9999999999999933+0j) (3.999999999999999+0j) (4.000000000000005+0j) (4.000000000000016+0j) (4.000000000000017+0j) (4.147933646018055+0j) (4.441934873585421+0j) (4.6751275097439455+0j) (4.900610012252836+0j) (4.999999999999993+0j) (4.9999999999999964+0j) (4.9999999999999964+0j) (4.9999999999999964+0j) (4.999999999999997+0j) (4.999999999999999+0j) (5.000000000000002+0j) (5.000000000000003+0j) (5.000000000000004+0j) (5.000000000000005+0j) (5.000000000000007+0j) (5.000000000000007+0j) (5.000000000000009+0j) (5.156489188885908+0j) (5.319751322858475+0j) (5.699547662147082+0j) (5.744624064214411+0j) (5.808515275618585+0j) (5.937056797889382+0j) (5.999999999999996+0j) (6.00000000000001+0j) (6.000000000000011+0j) (6.721168800807839+0j) (6.8110553129845774+0j) (6.999999999999993+0j) (6.999999999999994+0j) (7.000000000000022+0j) (7.000000000000027+0j) (7.086460595825547+0j) (7.2862296521804755+0j) (7.382585891200309+0j) (7.597588729252663+0j) (7.856842021481211+0j) (7.999999999999993+0j) (8.687619151485471+0j) (8.891417383719322+0j) (9.441483553930947+0j) (9.538578448475306+0j) (10.853506542860908+0j) (11.333953320088908+0j) (13.210045133355885+0j) (15.382739776684714+0j) 
(-4.612808783812496e-16+0j) (-1.1102230246251565e-16+0j) (2.2053624438106332e-16+0j) (5.848274217378971e-16-8.289909841606225e-17j) (5.848274217378971e-16+8.289909841606225e-17j) (0.015286579518718913+0j) (0.06899206296431795+0j) (0.11053716200456694+0j) (0.1562472469256122+0j) (0.16621195398767635+0j) (0.24673910561967924+0j) (0.2683063722999908+0j) (0.29074083612749474+0j) (0.2945916770543064+0j) (0.4050768248919026+0j) (0.4173107929282583+0j) (0.4676758506386888+0j) (0.535719277422505+0j) (0.5857864376269061+0j) (0.5860273081009385+0j) (0.6945322215481082+0j) (0.737481714628223+0j) (0.9240616912870248+0j) (0.9999999999999982+0j) (0.9999999999999991+0j) (0.9999999999999993+0j) (0.9999999999999997+0j) (1.0000000000000007+0j) (1.000000000000001+0j) (1.0388074934308926+0j) (1.1315169132768463+0j) (1.165097984910246+0j) (1.40158332980311+0j) (1.445586035296547+0j) (1.5122337334682314+0j) (1.6561842509439868+0j) (1.7166891647262217+0j) (1.7252320884000543+0j) (1.764946683464797+0j) (1.9397638958656396+0j) (1.954465026252717+0j) (2.0000000000000004+0j) (2.0000000000000004+0j) (2.0000000000000018+0j) (2.000000000000004+0j) (2.295709504994043+0j) (2.4946996667275076+0j) (2.52055516788044+0j) (2.6201812213269413+0j) (2.9999999999999956+0j) (2.999999999999998+0j) (2.9999999999999982+0j) (2.9999999999999996+0j) (2.9999999999999996+0j) (2.9999999999999996+0j) (3.0000000000000036+0j) (3.000000000000006+0j) (3.000000000000014+0j) (3.1482084366071557+0j) (3.414213562373096+0j) (3.660822551509473+0j) (3.8149847033672746+0j) (3.84594620913306+0j) (3.9946215480400604+0j) (3.9999999999999947+0j) (3.9999999999999964+0j) (3.9999999999999973+0j) (3.9999999999999973+0j) (3.999999999999999+0j) (3.999999999999999+0j) (3.9999999999999996+0j) (4.000000000000001+0j) (4.000000000000002+0j) (4.0000000000000036+0j) (4.000000000000004+0j) (4.000000000000007+0j) (4.417926457465809+0j) (4.476625670913915+0j) (4.624096003138318+0j) (4.6242385912415385+0j) (4.999999999999994+0j) (5.0000000000000036+0j) (5.000000000000004+0j) (5.000000000000006+0j) (5.000000000000009+0j) (5.0000000000000115+0j) (5.000000000000018+0j) (5.156697345417777+0j) (5.333940282095568+0j) (5.671904680165178+0j) (5.74290103574804+0j) (5.870522813829416+0j) (5.957229818831994+0j) (6.000000000000057+0j) (6.053507798981048+0j) (6.180960540165118+0j) (6.530568634006438+0j) (6.701934524741887+0j) (6.971639300917512+0j) (7.232677653042102+0j) (7.254229895591687+0j) (7.46312624067861+0j) (7.88489069549735+0j) (7.902356428073567+0j) (7.999999999999974+0j) (8.106275538167127+0j) (9.212749570333518+0j) (9.362766524085316+0j) (9.759643924305282+0j) (10.43031429576983+0j) (10.658324307099196+0j) (12.675846921504963+0j) (14.508730220818725+0j) 
-4.785531240831196e-15 -1.847722629182021e-15 -1.2003062397342024e-16 -4.276195387932248e-18 0.0 0.0 4.7872819836395234e-17 1.4109442155747755e-16 1.5262497500072462e-15 0.024592737623039002 0.07647027175305128 0.08867226799604058 0.19500868929823945 0.20756993512098082 0.2578957153496057 0.3072026751685259 0.3567044933733705 0.39030333427496317 0.39881158359612 0.47323421060462817 0.5153117253510388 0.5509848232134413 0.622031848250263 0.7067671493064657 0.8538617835637528 0.9715982985154047 0.9999999999999956 0.9999999999999994 1.0 1.0000000000000002 1.0000000000000013 1.0000000000000016 1.0000000000000022 1.0000000000000047 1.0638110890468948 1.164038136032835 1.1657358246659786 1.3512263838336236 1.362537784228872 1.6860012177618569 1.7058527957214842 1.8213463733717064 1.8898470205900202 1.91899930091154 1.975506909953046 2.000000000000001 2.0000000000000084 2.405976809007238 2.9999999999999956 2.9999999999999956 2.9999999999999973 2.999999999999998 2.9999999999999996 3.0000000000000004 3.000000000000001 3.0000000000000013 3.000000000000003 3.000000000000004 3.000000000000005 3.0000000000000075 3.358614108089036 3.413595895819085 3.492998900955475 3.6414437523538807 3.7047523972643934 3.8437310124033592 3.8561157413837104 3.999999999999996 4.0 4.000000000000001 4.000000000000001 4.000000000000001 4.000000000000005 4.000000000000008 4.00000000000001 4.05824050705837 4.452469122438501 4.678774491180014 4.882610025114433 4.9984804297795 4.9999999999999805 4.999999999999983 4.9999999999999964 5.000000000000003 5.0000000000000036 5.00000000000001 5.028098881621345 5.155155346777844 5.521220660419565 5.704586262270144 5.723904434485401 5.771121269364684 5.882999524656464 5.9851287579077646 5.988231796874428 5.999999999999987 5.999999999999995 6.424702986871326 6.676136369934616 7.388789347640342 7.603141409076935 7.999999999999998 8.000000000000012 8.000000000000014 8.000000000000032 8.22869548567271 9.141351244713276 10.180522377207899 10.95925655665584 11.075702876333384 11.349426959836462 13.218963185638826 14.103136694717243 
